Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.542,12.542,12.542,12.542,5.601532,0
2000-01-04,12.5159,12.5159,12.1404,12.1404,5.4221699999999995,2558449
2000-01-05,11.8861,11.8861,11.5134,11.6253,5.192115,4890884
2000-01-06,11.6253,11.6253,11.2526,11.2971,5.045533,3373353
2000-01-07,11.2901,11.7883,11.2901,11.7883,5.264914,2850028
2000-01-10,11.9301,12.2589,11.9236,12.2518,5.471923,2624531
2000-01-11,12.2589,12.2887,12.0725,12.2067,5.4517809999999995,3225917
2000-01-12,11.9307,12.2659,11.8639,12.0725,5.391843,3718777
2000-01-13,11.9285,12.0127,11.6998,11.734,5.240661,2503620
2000-01-14,11.7373,12.2366,11.715,12.2366,5.465135,6787331
2000-01-17,12.2958,12.5197,12.2659,12.4594,5.564641,5323964
2000-01-18,12.3702,12.5941,12.3702,12.424,5.548831,6486079
2000-01-19,12.1594,12.2958,12.1469,12.2958,5.491573000000001,2230536
2000-01-20,12.191,12.3333,12.0725,12.1171,5.411761,2532696
2000-01-21,11.9236,12.029,11.7742,12.029,5.372414,2216600
2000-01-24,11.8334,11.9981,11.8117,11.8562,5.29524,1974176
2000-01-25,11.6922,11.8486,11.5509,11.7742,5.258614,2992574
2000-01-26,14.9044,14.9191,14.9044,14.9044,6.656633,330499
2000-01-27,11.69,12.0127,11.6851,11.9606,5.3418660000000004,2479333
2000-01-28,11.8486,11.8486,11.4015,11.4607,5.1186,4968598
2000-01-31,11.327,11.3944,11.0814,11.327,5.058888,5799665
2000-02-01,11.3944,11.439,11.1184,11.2227,5.012304,2727301
2000-02-02,11.1782,11.2156,10.9994,10.9994,4.912573,3370679
2000-02-03,11.0217,11.389,10.925,11.389,5.086576999999999,3774453
2000-02-04,11.4074,11.64,11.126,11.3645,5.075634,5121115
2000-02-07,11.327,11.327,11.1407,11.1695,4.988544,2578632
2000-02-08,11.1706,11.2901,11.0662,11.1706,4.989034999999999,2169068
2000-02-09,11.1407,11.2156,11.0293,11.0662,4.942408,2047334
