Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,10.9,10.9,10.75,10.8,7.067056,369619.0
2000-01-05,10.75,10.75,10.55,10.65,6.968902000000001,451044.0
2000-01-06,10.58,10.7,10.35,10.35,6.772593,330305.0
2000-01-07,10.4,10.45,10.3,10.3,6.739878,356542.0
2000-01-10,10.6,10.6,10.45,10.5,6.870749000000001,260557.0
2000-01-11,10.5,10.55,10.25,10.35,6.772593,267402.0
2000-01-12,10.25,10.45,10.15,10.2,6.674442999999999,448977.0
2000-01-13,10.2,10.4,10.2,10.3,6.739878,165050.0
2000-01-14,10.3,10.4,10.15,10.2,6.674442999999999,364287.0
2000-01-17,10.3,10.3,10.05,10.05,6.576288000000001,590634.0
2000-01-18,10.05,10.2,10.0,10.05,6.576288000000001,548846.0
2000-01-19,10.1,10.1,9.9,9.95,6.510853,577783.0
2000-01-20,9.95,10.1,9.75,9.9,6.478135,1085153.0
2000-01-21,9.9,10.0,9.9,9.9,6.478135,340480.0
2000-01-24,10.0,10.1,9.9,9.95,6.510853,345525.0
2000-01-25,9.85,10.0,9.8,9.9,6.478135,293231.0
2000-01-26,9.9,9.9,9.9,9.9,6.478135,0
2000-01-27,9.9,9.95,9.6,9.6,6.281828,653060.0
2000-01-28,9.6,10.05,9.6,9.95,6.510853,902959.0
2000-01-31,9.75,9.95,9.75,9.8,6.4126970000000005,225351.0
2000-02-01,9.9,9.95,9.7,9.7,6.347263,289149.0
2000-02-02,9.8,9.8,9.15,9.25,6.052803,1064491.0
2000-02-03,9.25,9.25,8.6,8.7,5.692906,1277350.0
2000-02-04,8.785,9.05,8.75,9.0,5.889213,1089160.0
2000-02-07,9.1,9.25,9.0,9.1,5.954648000000001,474359.0
2000-02-08,9.1,9.15,8.75,8.8,5.758341000000001,833963.0
2000-02-09,8.9,9.1,8.8,8.95,5.856496,511907.0
2000-02-10,9.0,9.0,8.6,8.85,5.79106,924388.0
2000-02-11,8.9,8.9,8.4,8.45,5.529317,784434.0
2000-02-14,8.4,8.45,7.7,8.0,5.234856,1338351.0
2000-02-15,8.0,8.25,7.9,8.0,5.234856,1171686.0
2000-02-16,8.25,8.4,8.0,8.09,5.293747,416280.0
2000-02-17,8.05,8.15,7.9,7.9,5.169421,842687.0
2000-02-18,8.1,8.615,8.1,8.615,5.637283999999999,474092.0
2000-02-21,8.6,8.95,8.55,8.8,5.758341000000001,303299.0
2000-02-22,8.8,8.8,8.35,8.4,5.496599,437967.0
2000-02-23,8.35,9.2,8.3,8.65,5.660188,808408.0
2000-02-24,8.95,8.95,8.25,8.25,5.398446,387823.0
2000-02-25,8.4,8.4,8.1,8.1,5.300292,890678.0
2000-02-28,8.2,8.5,7.9,8.0,5.234856,327044.0
2000-02-29,8.1,8.3,7.9,8.05,5.267575,359925.0
