Date,Open,High,Low,Close,Adj Close,Volume
2009-09-10,3.92,3.99,3.85,3.99,2.82307,16733600
2009-09-11,4.0,4.05,3.89,3.94,2.7876939999999997,1998000
2009-09-14,3.96,3.96,3.7,3.78,2.674488,1968200
2009-09-15,3.78,3.8,3.56,3.63,2.568357,1610100
2009-09-16,3.63,3.73,3.62,3.68,2.603734,1089400
2009-09-17,3.7,3.71,3.64,3.7,2.617885,2109100
2009-09-18,3.69,3.83,3.69,3.81,2.6957139999999997,1192900
2009-09-21,3.85,3.85,3.78,3.8,2.688639,1897800
2009-09-22,3.81,3.84,3.77,3.8,2.688639,841000
2009-09-23,3.81,3.81,3.77,3.78,2.674488,1030100
2009-09-24,3.73,3.75,3.7,3.72,2.6320349999999997,2301000
2009-09-25,3.74,3.8,3.71,3.72,2.6320349999999997,1790600
2009-09-28,3.71,3.75,3.71,3.72,2.6320349999999997,1046000
2009-09-29,3.72,3.72,3.62,3.67,2.596659,672200
2009-09-30,3.69,3.78,3.69,3.75,2.653262,528100
2009-10-01,3.7,3.79,3.7,3.77,2.667412,218300
2009-10-02,3.71,3.76,3.71,3.73,2.639111,236900
2009-10-05,3.76,3.77,3.71,3.72,2.6320349999999997,85200
2009-10-06,3.72,3.8,3.72,3.8,2.688639,150100
2009-10-07,3.79,3.84,3.74,3.84,2.71694,226800
2009-10-08,3.81,3.9,3.78,3.86,2.731091,467900
2009-10-09,3.85,3.9,3.85,3.89,2.7523169999999997,701000
2009-10-12,3.88,3.92,3.87,3.9,2.7593919999999996,823600
2009-10-13,3.89,3.9,3.79,3.83,2.709865,292400
2009-10-14,3.85,3.9,3.84,3.9,2.7593919999999996,769100
2009-10-15,3.9,3.9,3.81,3.86,2.731091,767300
2009-10-16,3.88,3.9,3.87,3.9,2.7593919999999996,734800
2009-10-19,3.9,3.92,3.85,3.9,2.7593919999999996,562500
2009-10-20,3.91,4.03,3.9,4.03,2.851372,588200
2009-10-21,4.03,4.03,3.96,3.96,2.801845,562200
2009-10-22,4.01,4.1,4.01,4.1,2.9008990000000003,600200
2009-10-23,4.15,4.16,4.03,4.09,2.893824,915400
2009-10-26,4.08,4.08,4.02,4.05,2.865523,153400
2009-10-27,4.01,4.03,3.98,4.0,2.830146,651400
2009-10-28,4.02,4.07,3.99,4.01,2.837222,1102900
2009-10-29,4.01,4.03,3.98,4.0,2.830146,541400
2009-10-30,4.05,4.1,4.01,4.09,2.893824,134400
2009-11-02,4.06,4.15,4.04,4.15,2.936277,268900
2009-11-03,4.11,4.14,4.03,4.1,2.9008990000000003,393900
2009-11-04,4.12,4.13,4.03,4.11,2.907975,188800
2009-11-05,4.13,4.16,4.13,4.16,2.943352,334000
2009-11-06,4.15,4.25,4.15,4.25,3.00703,573400
2009-11-09,4.29,4.39,4.2,4.38,3.09901,169000
2009-11-10,4.4,4.45,4.36,4.36,3.084859,449200
2009-11-11,4.44,4.49,4.35,4.35,3.077783,132700
2009-11-12,4.38,4.48,4.35,4.48,3.169764,223000
2009-11-13,4.46,4.53,4.4,4.53,3.20514,210400
2009-11-16,4.55,4.55,4.47,4.5,3.1839150000000003,306800
2009-11-17,4.5,4.56,4.46,4.5,3.1839150000000003,267300
2009-11-18,4.5,4.5,4.46,4.5,3.1839150000000003,83800
2009-11-19,4.48,4.56,4.46,4.52,3.198065,228300
2009-11-20,4.55,4.65,4.55,4.63,3.275894,82800
2009-11-23,4.63,4.64,4.52,4.6,3.254668,85800
2009-11-24,4.6,4.6,4.51,4.55,3.219291,940200
2009-11-25,4.53,4.53,4.39,4.47,3.162688,222700
2009-11-26,4.47,4.59,4.41,4.56,3.226366,711600
2009-11-27,4.52,4.52,4.42,4.45,3.1485380000000003,117500
2009-11-30,4.6,4.6,4.48,4.48,3.169764,375800
2009-12-01,4.48,4.68,4.48,4.66,3.2971199999999996,435300
2009-12-02,4.7,4.8,4.63,4.7,3.325422,731200
2009-12-03,4.7,4.7,4.57,4.69,3.318346,647300
2009-12-04,4.75,4.9,4.66,4.88,3.452778,1029000
2009-12-07,4.88,4.9,4.69,4.8,3.396174,432200
2009-12-08,4.85,4.89,4.77,4.82,3.4103260000000004,781000
2009-12-09,4.82,4.82,4.82,4.82,3.4103260000000004,0
2009-12-10,4.77,4.86,4.77,4.78,3.382025,330828
2009-12-11,4.85,4.96,4.8,4.9,3.466928,692184
2009-12-14,4.92,4.92,4.75,4.86,3.438627,190745
2009-12-15,4.87,5.02,4.85,5.0,3.5376819999999998,1235278
2009-12-16,4.99,5.0,4.92,4.95,3.5023050000000002,239710
2009-12-17,4.95,4.99,4.88,4.88,3.452778,563495
2009-12-18,4.87,5.1,4.79,5.05,3.573061,3289696
2009-12-21,5.03,5.2,5.03,5.2,3.679189,303927
2009-12-22,5.2,5.4,5.14,5.3,3.749943,664511
2009-12-23,5.4,5.42,5.32,5.35,3.7853209999999997,286304
2009-12-24,5.4,5.7,5.4,5.42,3.8348480000000005,575058
2009-12-29,5.45,5.5,5.34,5.42,3.8348480000000005,133205
2009-12-30,5.45,5.45,5.35,5.37,3.799471,53408
2009-12-31,5.42,5.45,5.35,5.35,3.7853209999999997,88075
2010-01-04,5.45,5.5,5.36,5.38,3.806546,201037
2010-01-05,5.45,5.48,5.44,5.45,3.8560730000000003,762168
2010-01-06,5.46,5.46,5.4,5.41,3.827772,1133167
2010-01-07,5.4,5.41,5.36,5.4,3.820696,451179
2010-01-08,5.4,5.4,5.1,5.18,3.665039,415297
2010-01-11,5.2,5.25,4.95,5.03,3.5589089999999994,897917
2010-01-12,4.94,5.02,4.77,4.99,3.530607,730627
2010-01-13,4.96,5.08,4.92,5.04,3.565984,175071
2010-01-14,5.05,5.08,5.0,5.05,3.573061,403061
2010-01-15,5.05,5.13,5.04,5.11,3.615511,158097
2010-01-18,5.13,5.16,5.01,5.14,3.636739,373536
2010-01-19,5.11,5.11,4.86,5.0,3.5376819999999998,347590
2010-01-20,5.01,5.01,4.79,4.79,3.389099,168226
2010-01-21,4.75,4.9,4.67,4.79,3.389099,258935
2010-01-22,4.67,4.96,4.55,4.94,3.495231,360381
2010-01-25,4.94,4.95,4.77,4.91,3.474004,268517
2010-01-27,4.86,4.87,4.56,4.65,3.2900449999999997,364914
2010-01-28,4.59,4.65,4.55,4.59,3.247592,216946
2010-01-29,4.54,4.55,4.4,4.51,3.19099,330974
2010-02-01,4.5,4.51,4.37,4.4,3.1131599999999997,330691
2010-02-02,4.36,4.51,4.35,4.49,3.1768389999999997,526641
2010-02-03,4.6,4.62,4.4,4.57,3.233441,463820
2010-02-04,4.57,4.69,4.45,4.61,3.261743,243399
2010-02-05,4.43,4.51,4.33,4.48,3.169764,252621
2010-02-08,4.46,4.59,4.4,4.48,3.169764,107064
2010-02-09,4.4,4.59,4.39,4.54,3.212216,474360
2010-02-10,4.51,4.58,4.51,4.58,3.2405169999999996,71938
2010-02-11,4.75,4.75,4.57,4.63,3.275894,115241
2010-02-12,4.63,4.63,4.49,4.5,3.1839150000000003,583821
2010-02-15,4.45,4.48,4.38,4.38,3.09901,151604
2010-02-16,4.4,4.57,4.4,4.48,3.169764,670884
2010-02-17,4.53,4.79,4.53,4.76,3.3678739999999996,1507064
2010-02-18,4.75,4.9,4.73,4.85,3.4315510000000002,1517633
2010-02-19,4.86,5.0,4.82,5.0,3.5376819999999998,898728
2010-02-22,5.09,5.09,4.88,4.95,3.5023050000000002,660876
2010-02-23,4.95,5.01,4.88,4.94,3.495231,134938
2010-02-24,4.94,4.94,4.79,4.85,3.4315510000000002,1960136
2010-02-25,4.86,4.93,4.76,4.9,3.466928,1409453
2010-02-26,4.9,4.9,4.79,4.87,3.445703,582010
2010-03-01,4.89,5.0,4.83,4.99,3.530607,434321
2010-03-02,5.0,5.0,4.83,4.9,3.466928,247028
2010-03-03,4.88,4.98,4.83,4.85,3.4315510000000002,456135
2010-03-04,4.9,5.17,4.9,5.15,3.6438129999999997,724361
2010-03-05,5.15,5.19,5.04,5.11,3.615511,335878
2010-03-08,5.17,5.19,5.11,5.18,3.665039,208519
2010-03-09,5.18,5.28,5.12,5.26,3.7216419999999997,564085
2010-03-10,5.29,5.35,5.22,5.26,3.7216419999999997,475965
2010-03-11,5.27,5.35,5.16,5.29,3.742867,282341
2010-03-12,5.28,5.3,5.19,5.26,3.7216419999999997,83303
2010-03-15,5.26,5.3,5.16,5.16,3.650889,255211
2010-03-16,5.18,5.25,5.12,5.24,3.7074910000000005,316809
2010-03-17,5.28,5.45,5.27,5.42,3.8348480000000005,459814
2010-03-18,5.5,5.5,5.33,5.45,3.8560730000000003,376320
2010-03-19,5.45,5.86,5.45,5.71,4.040033,1194029
