Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4.14,4.14,3.94,3.98,1.728386,1094204.0
2000-01-05,3.962,3.962,3.85,3.95,1.7153580000000002,1765760.0
2000-01-06,3.995,3.995,3.87,3.9,1.693644,2284707.0
2000-01-07,3.946,3.95,3.91,3.95,1.7153580000000002,2008865.0
2000-01-10,4.05,4.1,3.98,4.01,1.741414,788549.0
2000-01-11,4.01,4.01,3.84,3.84,1.667589,941586.0
2000-01-12,3.9,4.0,3.82,3.833,1.664548,1280644.0
2000-01-13,3.81,3.87,3.69,3.73,1.6198190000000001,1221493.0
2000-01-14,3.8,3.8,3.65,3.8,1.650218,2545317.0
2000-01-17,3.874,3.874,3.76,3.8,1.650218,1958658.0
2000-01-18,3.872,3.89,3.77,3.77,1.63719,610655.0
2000-01-19,3.8,3.8,3.68,3.7,1.606791,950707.0
2000-01-20,3.8,3.85,3.74,3.79,1.645876,1183454.0
2000-01-21,3.841,3.841,3.75,3.79,1.645876,641725.0
2000-01-24,3.81,3.88,3.78,3.8,1.650218,515511.0
2000-01-25,3.8,3.8,3.7,3.72,1.615476,860322.0
2000-01-26,3.72,3.72,3.72,3.72,1.615476,0.0
2000-01-27,3.741,3.741,3.5,3.64,1.5807360000000001,2370302.0
2000-01-28,3.6,3.82,3.6,3.81,1.654561,1808771.0
2000-01-31,3.79,3.79,3.66,3.73,1.6198190000000001,2007428.0
2000-02-01,3.788,3.788,3.62,3.66,1.589421,869193.0
2000-02-02,3.66,3.7,3.6,3.649,1.584643,1680365.0
2000-02-03,3.65,3.71,3.6,3.672,1.594632,860788.0
2000-02-04,3.731,3.731,3.55,3.557,1.544691,483388.0
2000-02-07,3.6,3.62,3.5,3.5,1.519938,511924.0
2000-02-08,3.5,3.53,3.45,3.5,1.519938,759904.0
2000-02-09,3.5,3.68,3.5,3.53,1.532965,556402.0
2000-02-10,3.46,3.58,3.45,3.53,1.532965,2886123.0
2000-02-11,3.49,3.49,3.35,3.36,1.459139,854202.0
2000-02-14,3.35,3.35,3.21,3.21,1.393999,920494.0
2000-02-15,3.27,3.37,3.27,3.36,1.459139,1696709.0
2000-02-16,3.4,3.58,3.38,3.507,1.5229780000000002,957180.0
2000-02-17,3.5,3.63,3.5,3.623,1.573352,1189302.0
2000-02-18,3.6,3.63,3.4,3.416,1.483459,745893.0
2000-02-21,3.42,3.552,3.42,3.552,1.542519,304099.0
2000-02-22,3.55,3.56,3.431,3.431,1.489973,450804.0
2000-02-23,3.5,3.51,3.31,3.33,1.446112,777670.0
2000-02-24,3.431,3.48,3.25,3.26,1.415713,853989.0
2000-02-25,3.25,3.39,3.25,3.34,1.4504549999999998,336091.0
2000-02-28,3.27,3.29,3.23,3.28,1.424399,380213.0
2000-02-29,3.3,3.35,3.21,3.23,1.402686,534902.0
2000-03-01,3.319,3.319,3.23,3.3,1.433084,384055.0
2000-03-02,3.31,3.33,3.25,3.25,1.411371,218546.0
2000-03-03,3.25,3.29,3.1,3.2,1.389657,748660.0
2000-03-06,3.2,3.27,3.15,3.25,1.43834,366680.0
2000-03-07,3.192,3.33,3.19,3.316,1.467549,611781.0
2000-03-08,3.227,3.3,3.21,3.26,1.4427649999999999,833295.0
2000-03-09,3.25,3.38,3.23,3.374,1.493218,389141.0
2000-03-10,3.35,3.4,3.32,3.39,1.500299,612709.0
2000-03-13,3.4,3.43,3.34,3.4,1.504725,249482.0
2000-03-14,3.42,3.571,3.42,3.571,1.580403,524481.0
2000-03-15,3.543,3.55,3.45,3.45,1.526853,289167.0
2000-03-16,3.55,3.77,3.55,3.77,1.6684740000000002,750893.0
2000-03-17,3.85,3.98,3.78,3.891,1.7220240000000002,1608929.0
2000-03-20,3.9,3.9,3.75,3.81,1.686176,1360128.0
2000-03-21,3.81,3.81,3.58,3.58,1.584386,568792.0
2000-03-22,3.58,3.72,3.48,3.54,1.566684,709125.0
2000-03-23,3.6,3.7,3.58,3.65,1.615366,472406.0
2000-03-24,3.802,3.802,3.61,3.7,1.637494,479052.0
2000-03-27,3.65,3.72,3.63,3.72,1.6463450000000002,701302.0
2000-03-28,3.625,3.905,3.625,3.905,1.72822,1129439.0
2000-03-29,3.944,3.95,3.8,3.88,1.7171560000000001,1017335.0
2000-03-30,3.9,3.97,3.9,3.96,1.752561,811515.0
2000-03-31,3.95,4.1,3.78,4.1,1.8145209999999998,3472380.0
2000-04-03,4.11,4.15,4.01,4.147,1.835321,1061394.0
2000-04-04,4.2,4.35,4.19,4.34,1.920737,1561080.0
2000-04-05,4.35,4.48,4.35,4.458,1.972959,1249227.0
2000-04-06,4.39,4.46,4.28,4.46,1.973844,741696.0
2000-04-07,4.47,4.55,4.38,4.47,1.9782689999999998,1959255.0
2000-04-10,4.43,4.47,4.35,4.439,1.964551,639647.0
2000-04-11,4.4,4.46,4.39,4.44,1.964993,1409932.0
2000-04-12,4.44,4.49,4.4,4.48,1.982695,1102586.0
2000-04-13,4.46,4.48,4.39,4.458,1.972959,1265314.0
2000-04-14,4.4,4.5,4.37,4.46,1.973844,959396.0
2000-04-17,4.209,4.29,4.15,4.269,1.889315,920525.0
2000-04-18,4.3,4.3,4.11,4.21,1.863203,488527.0
2000-04-19,4.212,4.28,4.19,4.24,1.87648,975188.0
2000-04-20,4.1,4.15,3.8,3.806,1.684406,992752.0
2000-04-21,3.806,3.806,3.806,3.806,1.684406,0.0
2000-04-24,3.806,3.806,3.806,3.806,1.684406,0.0
2000-04-25,3.806,3.806,3.806,3.806,1.684406,0.0
2000-04-26,3.84,3.9,3.61,3.65,1.615366,1847353.0
2000-04-27,3.605,3.81,3.47,3.766,1.6667040000000002,1081693.0
2000-04-28,3.85,4.14,3.85,4.094,1.811865,5375184.0
2000-05-01,4.0,4.0,3.9,3.925,1.7370709999999998,470625.0
2000-05-02,3.92,4.18,3.91,4.18,1.849925,721089.0
2000-05-03,4.096,4.096,3.95,4.005,1.772477,314726.0
2000-05-04,3.98,4.144,3.96,4.144,1.833993,369260.0
2000-05-05,4.1,4.19,4.05,4.19,1.854352,205443.0
2000-05-08,4.016,4.06,3.95,3.95,1.7481360000000001,729569.0
2000-05-09,3.95,4.0,3.87,3.9,1.726007,324002.0
2000-05-10,3.9,3.92,3.7,3.74,1.655196,900491.0
2000-05-11,3.694,3.694,3.5,3.559,1.575092,882766.0
2000-05-12,3.62,3.75,3.53,3.55,1.571109,909935.0
2000-05-15,3.705,3.705,3.47,3.51,1.553407,497976.0
2000-05-16,3.5,3.52,3.42,3.48,1.540129,1461796.0
2000-05-17,3.48,3.6,3.47,3.559,1.575092,1356049.0
2000-05-18,3.549,3.58,3.45,3.47,1.5357040000000002,899860.0
2000-05-19,3.5,3.5,3.41,3.42,1.513576,805199.0
2000-05-22,3.43,3.5,3.4,3.44,1.522427,2355962.0
2000-05-23,3.44,3.44,3.37,3.37,1.491447,1031752.0
2000-05-24,3.33,3.34,3.3,3.33,1.473745,649532.0
2000-05-25,3.35,3.43,3.32,3.4,1.504725,487893.0
2000-05-26,3.42,3.43,3.38,3.4,1.504725,995902.0
2000-05-29,3.4,3.4,3.36,3.4,1.504725,886625.0
2000-05-30,3.39,3.4,3.36,3.4,1.504725,1069888.0
2000-05-31,3.493,3.493,3.4,3.4,1.504725,1380517.0
2000-06-01,3.388,3.46,3.38,3.406,1.50738,641539.0
2000-06-02,3.41,3.42,3.39,3.4,1.504725,550176.0
2000-06-05,3.4,3.42,3.36,3.415,1.511363,721928.0
2000-06-06,3.41,3.46,3.41,3.41,1.50915,764816.0
2000-06-07,3.4,3.62,3.4,3.62,1.6020889999999999,754577.0
2000-06-08,3.606,3.76,3.54,3.578,1.583501,529740.0
2000-06-09,3.55,3.7,3.55,3.65,1.615366,362023.0
2000-06-12,3.65,3.65,3.65,3.65,1.615366,0.0
2000-06-13,3.64,3.65,3.56,3.57,1.579961,149229.0
2000-06-14,3.55,3.55,3.46,3.46,1.5312780000000001,1048808.0
2000-06-15,3.44,3.44,3.31,3.331,1.4741870000000001,1612142.0
2000-06-16,3.33,3.4,3.28,3.3,1.460467,764800.0
2000-06-19,3.3,3.31,3.22,3.25,1.43834,957469.0
2000-06-20,3.258,3.36,3.21,3.22,1.425062,533517.0
2000-06-21,3.2,3.2,3.11,3.11,1.37638,1125924.0
2000-06-22,3.11,3.23,3.11,3.15,1.394083,1713408.0
2000-06-23,3.152,3.19,3.12,3.15,1.394083,690013.0
2000-06-26,3.15,3.19,3.07,3.09,1.367529,2169825.0
2000-06-27,3.08,3.15,3.06,3.15,1.394083,1053707.0
2000-06-28,3.15,3.15,3.07,3.09,1.367529,1469828.0
