Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,7.59,7.7,7.55,7.6,4.763166,517445.0
2000-01-05,7.25,7.3,7.12,7.2,4.512471,694920.0
2000-01-06,7.3,7.35,7.15,7.15,4.481137,526947.0
2000-01-07,7.093,7.093,6.51,6.51,4.080026999999999,807142.0
2000-01-10,7.008,7.34,6.98,7.23,4.531275,738293.0
2000-01-11,7.35,7.44,7.35,7.4,4.637819,830416.0
2000-01-12,7.283,7.36,7.17,7.25,4.54381,354210.0
2000-01-13,7.15,7.15,6.75,7.009,4.392767,398689.0
2000-01-14,6.991,7.19,6.95,7.04,4.412196,564925.0
2000-01-17,7.118,7.25,6.98,6.98,4.37459,372286.0
2000-01-18,6.98,7.05,6.8,6.83,4.280581,718987.0
2000-01-19,6.94,6.94,6.58,6.63,4.155233,847778.0
2000-01-20,6.6,7.0,6.6,7.0,4.3871269999999996,701634.0
2000-01-21,6.957,7.066,6.95,7.066,4.428491,313615.0
2000-01-24,7.12,7.2,7.015,7.015,4.396527,366249.0
2000-01-25,6.75,6.99,6.7,6.85,4.293118,1220323.0
2000-01-26,6.85,6.85,6.85,6.85,4.293118,50000.0
2000-01-27,6.852,6.852,6.63,6.66,4.1740379999999995,1208268.0
2000-01-28,6.65,6.868,6.57,6.868,4.304398,1342239.0
2000-01-31,6.9,6.96,6.7,6.85,4.293118,586086.0
2000-02-01,7.0,7.0,6.79,6.85,4.293118,583441.0
2000-02-02,7.1,7.1,6.9,7.016,4.3971540000000005,2178705.0
2000-02-03,7.172,7.19,6.95,7.008,4.3921410000000005,1666559.0
2000-02-04,7.05,7.05,6.8,6.9,4.324454,720831.0
2000-02-07,6.89,6.89,6.7,6.85,4.293118,380312.0
2000-02-08,6.8,6.82,6.56,6.57,4.117632,622823.0
2000-02-09,6.61,6.78,6.61,6.68,4.186572,627960.0
2000-02-10,6.68,6.722,6.6,6.722,4.212894,604425.0
2000-02-11,6.74,6.88,6.7,6.858,4.2981300000000005,449589.0
2000-02-14,6.75,7.05,6.68,7.04,4.412196,1279161.0
2000-02-15,7.08,7.1,6.75,6.801,4.262407,684534.0
2000-02-16,6.854,6.87,6.68,6.8,4.26178,1018961.0
2000-02-17,6.85,6.99,6.8,6.9,4.324454,401966.0
2000-02-18,6.9,7.07,6.81,6.868,4.304398,602603.0
2000-02-21,6.705,6.8,6.61,6.8,4.26178,381299.0
2000-02-22,6.744,6.8,6.66,6.75,4.230444,310236.0
2000-02-23,6.744,6.79,6.5,6.55,4.105097,421573.0
