Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.45,2.5,2.44,2.48,1.279309,186951.0
2000-01-05,2.473,2.49,2.42,2.49,1.284467,217593.0
2000-01-06,2.49,2.51,2.46,2.49,1.284467,169765.0
2000-01-07,2.5,2.51,2.44,2.44,1.258675,107107.0
2000-01-10,2.45,2.49,2.4,2.4,1.23804,321483.0
2000-01-11,2.403,2.45,2.4,2.45,1.263833,311060.0
2000-01-12,2.403,2.46,2.403,2.43,1.253516,227737.0
2000-01-13,2.42,2.45,2.42,2.45,1.263833,84950.0
2000-01-14,2.45,2.49,2.45,2.46,1.268991,480293.0
2000-01-17,2.47,2.48,2.45,2.46,1.268991,402682.0
2000-01-18,2.45,2.49,2.44,2.45,1.263833,284699.0
2000-01-19,2.46,2.46,2.45,2.46,1.268991,156825.0
2000-01-20,2.462,2.47,2.43,2.43,1.253516,242870.0
2000-01-21,2.423,2.47,2.423,2.47,1.27415,119802.0
2000-01-24,2.47,2.47,2.45,2.45,1.263833,221117.0
2000-01-25,2.485,2.485,2.43,2.43,1.253516,112363.0
2000-01-26,2.43,2.43,2.43,2.43,1.253516,0.0
2000-01-27,2.45,2.45,2.41,2.42,1.248357,308013.0
2000-01-28,2.43,2.45,2.41,2.42,1.248357,183547.0
2000-01-31,2.42,2.43,2.4,2.4,1.23804,203082.0
2000-02-01,2.4,2.4,2.38,2.39,1.232882,179915.0
2000-02-02,2.38,2.4,2.38,2.39,1.232882,113450.0
2000-02-03,2.39,2.4,2.36,2.36,1.217406,193352.0
2000-02-04,2.39,2.39,2.35,2.372,1.2235969999999998,186565.0
2000-02-07,2.34,2.35,2.33,2.35,1.212248,174632.0
2000-02-08,2.34,2.35,2.32,2.35,1.212248,137051.0
2000-02-09,2.341,2.35,2.31,2.34,1.2070889999999999,147070.0
2000-02-10,2.34,2.35,2.28,2.28,1.176138,823217.0
2000-02-11,2.25,2.26,2.16,2.2,1.134871,198951.0
2000-02-14,2.188,2.25,2.16,2.16,1.1142370000000001,312819.0
2000-02-15,2.15,2.15,2.08,2.09,1.078127,401538.0
2000-02-16,2.1,2.1,1.97,1.98,1.021384,420958.0
2000-02-17,1.98,1.98,1.84,1.85,0.9543229999999999,1254263.0
2000-02-18,1.85,1.85,1.75,1.781,0.9187290000000001,1050177.0
2000-02-21,1.8,1.84,1.79,1.79,0.923372,1048892.0
2000-02-22,1.81,1.87,1.79,1.849,0.953807,1473394.0
2000-02-23,1.85,2.0,1.85,1.94,1.0007489999999999,603738.0
2000-02-24,1.96,2.0,1.96,1.97,1.016225,700545.0
2000-02-25,1.99,2.12,1.97,2.019,1.0415020000000001,1130965.0
2000-02-28,2.1,2.28,2.1,2.2,1.134871,920314.0
2000-02-29,2.22,2.25,2.15,2.15,1.109078,1004365.0
2000-03-01,2.179,2.18,2.08,2.1,1.083286,580356.0
2000-03-02,2.149,2.27,2.149,2.26,1.165821,374846.0
2000-03-03,2.27,2.36,2.27,2.3,1.186456,841303.0
2000-03-06,2.364,2.364,2.28,2.3,1.186456,773659.0
2000-03-07,2.3,2.34,2.27,2.29,1.181297,800956.0
2000-03-08,2.29,2.35,2.29,2.33,1.2019309999999999,619395.0
2000-03-09,2.35,2.35,2.3,2.334,1.203994,665579.0
2000-03-10,2.24,2.24,2.13,2.19,1.201799,345602.0
2000-03-13,2.198,2.2,2.15,2.18,1.1963110000000001,155266.0
2000-03-14,2.15,2.19,2.15,2.15,1.179849,341122.0
2000-03-15,2.15,2.19,2.14,2.14,1.174361,210569.0
2000-03-16,2.19,2.26,2.18,2.25,1.234725,242527.0
2000-03-17,2.3,2.33,2.2,2.24,1.2292379999999998,293552.0
2000-03-20,2.24,2.259,2.18,2.259,1.2396639999999999,119288.0
2000-03-21,2.268,2.268,2.19,2.2,1.207287,130090.0
2000-03-22,2.22,2.27,2.21,2.22,1.2182620000000002,319862.0
2000-03-23,2.263,2.263,2.15,2.15,1.179849,1049309.0
2000-03-24,2.18,2.23,2.15,2.156,1.183141,152795.0
2000-03-27,2.167,2.2,2.15,2.17,1.1908239999999999,118255.0
2000-03-28,2.17,2.29,2.17,2.28,1.251188,272318.0
2000-03-29,2.27,2.28,2.19,2.19,1.201799,872358.0
2000-03-30,2.24,2.25,2.2,2.2,1.207287,224736.0
2000-03-31,2.24,2.27,2.24,2.25,1.234725,304146.0
2000-04-03,2.25,2.28,2.25,2.28,1.251188,433890.0
2000-04-04,2.29,2.31,2.27,2.28,1.251188,199599.0
2000-04-05,2.28,2.3,2.25,2.25,1.234725,268041.0
2000-04-06,2.28,2.3,2.25,2.27,1.2457,151829.0
2000-04-07,2.26,2.27,2.25,2.25,1.234725,148656.0
2000-04-10,2.25,2.26,2.22,2.22,1.2182620000000002,155718.0
2000-04-11,2.2,2.2,2.18,2.18,1.1963110000000001,287636.0
2000-04-12,2.18,2.2,2.17,2.17,1.1908239999999999,248971.0
2000-04-13,2.2,2.2,2.17,2.17,1.1908239999999999,147456.0
2000-04-14,2.2,2.24,2.17,2.17,1.1908239999999999,194358.0
2000-04-17,2.15,2.15,2.04,2.05,1.1249719999999999,436676.0
2000-04-18,2.134,2.2,2.1,2.15,1.179849,469093.0
2000-04-19,2.21,2.21,2.13,2.191,1.202348,645425.0
2000-04-20,2.19,2.2,2.14,2.16,1.1853360000000002,198385.0
2000-04-21,2.16,2.16,2.16,2.16,1.1853360000000002,0.0
2000-04-24,2.16,2.16,2.16,2.16,1.1853360000000002,0.0
2000-04-25,2.16,2.16,2.16,2.16,1.1853360000000002,0.0
2000-04-26,2.23,2.27,2.21,2.26,1.240213,346281.0
2000-04-27,2.28,2.28,2.22,2.28,1.251188,251778.0
2000-04-28,2.29,2.3,2.25,2.27,1.2457,202526.0
2000-05-01,2.3,2.3,2.26,2.27,1.2457,204466.0
2000-05-02,2.27,2.28,2.25,2.26,1.240213,673230.0
2000-05-03,2.285,2.29,2.25,2.25,1.234725,203899.0
2000-05-04,2.249,2.28,2.22,2.26,1.240213,272405.0
2000-05-05,2.239,2.35,2.239,2.35,1.2896020000000001,211954.0
2000-05-08,2.36,2.43,2.36,2.41,1.3225280000000001,426778.0
2000-05-09,2.41,2.43,2.35,2.38,1.306065,221688.0
2000-05-10,2.38,2.38,2.27,2.3,1.2621639999999998,155253.0
2000-05-11,2.3,2.39,2.3,2.38,1.306065,155220.0
2000-05-12,2.39,2.39,2.36,2.37,1.300577,247374.0
2000-05-15,2.392,2.392,2.34,2.35,1.2896020000000001,245894.0
2000-05-16,2.371,2.39,2.34,2.38,1.306065,293524.0
2000-05-17,2.38,2.4,2.38,2.39,1.311552,199540.0
2000-05-18,2.39,2.4,2.35,2.4,1.31704,157719.0
2000-05-19,2.4,2.4,2.34,2.38,1.306065,299111.0
2000-05-22,2.37,2.4,2.31,2.4,1.31704,140136.0
2000-05-23,2.403,2.41,2.35,2.4,1.31704,230870.0
2000-05-24,2.4,2.4,2.33,2.33,1.278627,177470.0
2000-05-25,2.33,2.37,2.31,2.32,1.273139,168110.0
2000-05-26,2.35,2.35,2.29,2.3,1.2621639999999998,250292.0
2000-05-29,2.36,2.36,2.3,2.36,1.295089,120702.0
2000-05-30,2.372,2.372,2.31,2.33,1.278627,162219.0
2000-05-31,2.35,2.41,2.35,2.4,1.31704,926821.0
2000-06-01,2.42,2.43,2.36,2.36,1.295089,167670.0
2000-06-02,2.4,2.45,2.36,2.45,1.344479,346027.0
2000-06-05,2.46,2.52,2.46,2.52,1.382892,592318.0
2000-06-06,2.53,2.68,2.53,2.65,1.454232,828373.0
2000-06-07,2.65,2.77,2.65,2.7,1.48167,450106.0
2000-06-08,2.75,2.83,2.72,2.83,1.55301,647909.0
2000-06-09,2.83,2.85,2.67,2.78,1.525572,439519.0
2000-06-12,2.78,2.78,2.78,2.78,1.525572,0.0
2000-06-13,2.794,2.85,2.73,2.85,1.563985,180258.0
2000-06-14,2.86,2.89,2.82,2.862,1.57057,425854.0
2000-06-15,2.883,2.89,2.82,2.843,1.560144,711962.0
2000-06-16,2.84,2.84,2.7,2.72,1.492646,122142.0
2000-06-19,2.7,2.7,2.66,2.69,1.4761819999999999,319193.0
2000-06-20,2.676,2.71,2.676,2.7,1.48167,357180.0
2000-06-21,2.7,2.7,2.62,2.62,1.437769,201803.0
2000-06-22,2.63,2.63,2.57,2.59,1.421306,223827.0
2000-06-23,2.59,2.62,2.57,2.62,1.437769,372564.0
2000-06-26,2.612,2.7,2.6,2.64,1.448744,301311.0
2000-06-27,2.65,2.76,2.65,2.735,1.500877,262728.0
2000-06-28,2.72,2.744,2.67,2.744,1.505816,407011.0
2000-06-29,2.74,2.82,2.73,2.803,1.538193,401763.0
2000-06-30,2.77,2.87,2.76,2.87,1.574961,675996.0
2000-07-03,2.85,2.89,2.85,2.85,1.563985,211685.0
2000-07-04,2.85,2.86,2.78,2.781,1.5261200000000001,359064.0
2000-07-05,2.746,2.83,2.746,2.78,1.525572,376441.0
2000-07-06,2.78,2.84,2.75,2.8,1.5365469999999999,332876.0
2000-07-07,2.8,2.83,2.79,2.8,1.5365469999999999,221651.0
2000-07-10,2.813,2.85,2.79,2.8,1.5365469999999999,191738.0
2000-07-11,2.79,2.88,2.78,2.85,1.563985,183564.0
2000-07-12,2.83,2.97,2.83,2.97,1.629838,246651.0
2000-07-13,2.97,3.05,2.97,3.0,1.6463009999999998,563742.0
2000-07-14,3.0,3.05,2.93,2.99,1.640812,431191.0
2000-07-17,2.98,2.99,2.9,2.95,1.618862,138642.0
2000-07-18,2.95,2.95,2.92,2.92,1.602399,481335.0
2000-07-19,2.93,2.978,2.92,2.978,1.634227,377802.0
2000-07-20,2.94,2.94,2.85,2.85,1.563985,181397.0
2000-07-21,2.891,2.891,2.86,2.876,1.5782530000000001,101368.0
2000-07-24,2.87,2.87,2.83,2.85,1.563985,295286.0
2000-07-25,2.85,2.9,2.85,2.9,1.591424,412491.0
2000-07-26,2.89,2.9,2.85,2.88,1.5804479999999999,106990.0
2000-07-27,2.85,2.87,2.85,2.86,1.569472,219855.0
2000-07-28,2.923,2.923,2.86,2.89,1.585936,138820.0
2000-07-31,2.89,2.94,2.88,2.88,1.5804479999999999,116599.0
2000-08-01,2.9,2.94,2.89,2.9,1.591424,237225.0
2000-08-02,2.969,2.969,2.91,2.95,1.618862,88432.0
2000-08-03,2.94,2.95,2.91,2.95,1.618862,312714.0
2000-08-04,2.909,2.94,2.9,2.9,1.591424,309871.0
2000-08-07,2.9,2.95,2.89,2.95,1.618862,131723.0
2000-08-08,2.942,3.01,2.92,3.01,1.651788,449198.0
2000-08-09,3.02,3.06,3.01,3.06,1.679227,208702.0
2000-08-10,3.051,3.16,3.05,3.16,1.734103,412010.0
2000-08-11,3.17,3.29,3.17,3.29,1.8054419999999998,664524.0
2000-08-14,3.29,3.29,3.18,3.2,1.756054,257231.0
2000-08-15,3.18,3.24,3.11,3.14,1.723128,240214.0
2000-08-16,3.14,3.19,3.06,3.15,1.728616,145474.0
2000-08-17,3.11,3.17,3.1,3.15,1.728616,158002.0
2000-08-18,3.14,3.23,3.11,3.22,1.7670290000000002,239221.0
2000-08-21,3.235,3.25,3.16,3.16,1.734103,102378.0
2000-08-22,3.2,3.3,3.2,3.3,1.810931,250497.0
2000-08-23,3.3,3.3,3.22,3.26,1.788979,173501.0
2000-08-24,3.22,3.22,3.18,3.182,1.746176,168775.0
2000-08-25,3.18,3.18,2.99,3.04,1.668251,306968.0
2000-08-28,2.972,2.972,2.81,2.85,1.563985,575088.0
2000-08-29,2.84,2.88,2.71,2.82,1.5475219999999998,286775.0
2000-08-30,2.8,2.88,2.8,2.86,1.569472,186946.0
2000-08-31,2.894,2.9,2.83,2.85,1.563985,230607.0
2000-09-01,2.88,2.9,2.87,2.87,1.574961,157303.0
2000-09-04,2.8,2.8,2.72,2.72,1.5465309999999999,114987.0
2000-09-05,2.773,2.8,2.76,2.8,1.592018,86013.0
2000-09-06,2.8,2.83,2.68,2.72,1.5465309999999999,160610.0
2000-09-07,2.697,2.72,2.67,2.67,1.518103,94824.0
2000-09-08,2.67,2.67,2.63,2.64,1.5010459999999999,143683.0
2000-09-11,2.63,2.64,2.51,2.56,1.455559,218144.0
2000-09-12,2.56,2.64,2.55,2.64,1.5010459999999999,163520.0
2000-09-13,2.695,2.695,2.58,2.6,1.4783030000000001,126932.0
2000-09-14,2.6,2.64,2.6,2.61,1.4839879999999999,106175.0
2000-09-15,2.6,2.6,2.59,2.6,1.4783030000000001,78550.0
2000-09-18,2.6,2.6,2.51,2.52,1.432816,150690.0
2000-09-19,2.52,2.6,2.51,2.51,1.427131,282865.0
2000-09-20,2.5,2.5,2.45,2.45,1.393016,141832.0
2000-09-21,2.45,2.45,2.34,2.366,1.3452549999999999,303263.0
2000-09-22,2.4,2.4,2.21,2.3,1.3077290000000001,306120.0
2000-09-25,2.32,2.39,2.28,2.28,1.296358,236713.0
2000-09-26,2.28,2.3,2.25,2.27,1.290672,604493.0
2000-09-27,2.28,2.28,2.26,2.26,1.284986,287212.0
2000-09-28,2.333,2.333,2.27,2.29,1.302044,243397.0
2000-09-29,2.29,2.35,2.28,2.34,1.3304719999999999,202669.0
