Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6.988410000000001,7.2765,6.988410000000001,7.227,3.047774,707713.0
2000-01-05,6.93693,7.2072,6.93693,7.1775,3.026898,1204867.0
2000-01-06,7.1577,7.3755,7.1478,7.326,3.0895240000000004,1560819.0
2000-01-07,7.208189999999999,7.4052,7.208189999999999,7.4052,3.122925,958769.0
2000-01-10,7.425,7.6032,7.4151,7.5735,3.1939,353527.0
2000-01-11,7.326,7.5834,7.326,7.5735,3.1939,2069746.0
2000-01-12,7.4745,7.5933,7.425,7.467569999999999,3.149227,1893044.0
2000-01-13,7.40619,7.4151,7.2864,7.3557,3.102049,1851619.0
2000-01-14,7.33293,7.425,7.3062,7.425,3.131275,969394.0
2000-01-17,7.425,7.4448,7.3755,7.4052,3.122925,1737908.0
2000-01-18,7.39629,7.5735,7.326,7.425,3.131275,1215501.0
2000-01-19,7.379460000000001,7.425,7.2864,7.425,3.131275,620310.0
2000-01-20,7.3458,7.3755,7.2072,7.2963,3.076998,1099085.0
2000-01-21,7.28838,7.2963,7.1874,7.1874,3.0310740000000003,900605.0
2000-01-24,7.1676,7.2765,7.128,7.2666,3.064475,157134.0
2000-01-25,7.0705800000000005,7.19235,7.0705800000000005,7.19235,3.033162,778196.0
2000-01-26,7.19235,7.19235,7.19235,7.19235,3.033162,0.0
2000-01-27,7.1676,7.1676,7.0785,7.1181,3.001849,1216683.0
2000-01-28,7.1082,7.227,7.1082,7.1676,3.022724,1229447.0
2000-01-31,7.0983,7.0983,6.9795,7.0092,2.955923,398204.0
2000-02-01,7.029,7.128,7.029,7.10325,2.995586,490227.0
2000-02-02,7.17057,7.17057,6.9894,6.9894,2.9475729999999998,644866.0
2000-02-03,7.029,7.0785,6.9399,7.0785,2.985147,2324210.0
2000-02-04,7.0785,7.1676,7.0785,7.128,3.006023,868484.0
2000-02-07,7.12701,7.2171,7.12701,7.1973,3.0352490000000003,352929.0
2000-02-08,7.2171,7.4151,7.2171,7.3557,3.102049,814054.0
2000-02-09,7.3557,7.425,7.3557,7.3755,3.1104,1017978.0
2000-02-10,7.425,7.722,7.3755,7.722,3.256526,2283362.0
2000-02-11,7.63686,7.9695,7.63686,7.7715,3.2774,726016.0
2000-02-14,7.708139999999999,7.722,7.5735,7.6923,3.244,416667.0
2000-02-15,7.67448,7.67448,7.1775,7.425,3.131275,1309998.0
2000-02-16,7.425,7.425,7.128,7.128,3.006023,686678.0
2000-02-17,7.1379,7.227,6.9201,7.10721,2.997257,973348.0
2000-02-18,7.1082,7.1082,6.7815,6.9399,2.926698,669638.0
2000-02-21,6.732,7.0785,6.732,7.0785,2.985147,235600.0
2000-02-22,7.02108,7.02108,6.732,6.8112,2.872423,875301.0
2000-02-23,6.8013,6.93,6.6528,6.713189999999999,2.83109,665592.0
2000-02-24,6.777539999999999,6.93,6.7023,6.76071,2.85113,851852.0
2000-02-25,6.75081,7.1379,6.75081,7.1379,3.010199,883476.0
2000-02-28,7.1775,7.1775,7.029,7.1775,3.026898,375829.0
2000-02-29,7.18542,7.425,7.0785,7.326,3.0895240000000004,899481.0
2000-03-01,7.30917,7.5735,7.3062,7.48044,3.154655,786265.0
2000-03-02,7.425,7.425,7.128,7.1775,3.026898,970326.0
2000-03-03,7.1181,7.1181,6.9399,7.029,2.964273,917563.0
2000-03-06,7.1082,7.1082,6.831,6.93,2.9819150000000003,285825.0
2000-03-07,6.9399,7.128,6.93,7.128,3.067112,663571.0
2000-03-08,6.831,7.029,6.831,6.9696,2.998955,375147.0
2000-03-09,6.8963399999999995,7.0686,6.7815,6.7815,2.918016,417088.0
2000-03-10,6.8805,6.8805,6.6924,6.7221,2.892458,1299076.0
2000-03-13,6.7518,6.8013,6.7221,6.732,2.896718,349578.0
2000-03-14,6.732,6.93,6.732,6.93,2.9819150000000003,1049840.0
2000-03-15,6.9102,6.93,6.8409,6.9201,2.977656,566529.0
2000-03-16,6.96663,6.9795,6.831,6.8805,2.960616,492219.0
2000-03-17,7.029,7.3755,7.029,7.3359,3.15657,1342280.0
