Date,Open,High,Low,Close,Adj Close,Volume
2010-12-13,2.63,2.69,2.62,2.66,1.585531,101747000
2010-12-14,2.66,2.66,2.58,2.62,1.561687,57484500
2010-12-15,2.64,2.65,2.61,2.65,1.5795700000000001,38329700
2010-12-16,2.63,2.65,2.62,2.63,1.567649,24554849
2010-12-17,2.63,2.69,2.61,2.69,1.603412,68944395
2010-12-20,2.69,2.69,2.64,2.67,1.591491,13142602
2010-12-21,2.67,2.67,2.63,2.63,1.567649,16292507
2010-12-22,2.63,2.64,2.58,2.6,1.5497670000000001,21441924
2010-12-23,2.58,2.61,2.57,2.61,1.555727,23759761
2010-12-24,2.59,2.6,2.57,2.58,1.5378450000000001,4942026
2010-12-29,2.59,2.61,2.56,2.58,1.5378450000000001,17497928
2010-12-30,2.57,2.59,2.55,2.56,1.525924,11196976
2010-12-31,2.57,2.58,2.56,2.57,1.531885,6923600
2011-01-04,2.6,2.6,2.52,2.54,1.514003,18580863
2011-01-05,2.56,2.61,2.54,2.57,1.531885,85575745
2011-01-06,2.57,2.57,2.51,2.53,1.508042,57558145
2011-01-07,2.51,2.54,2.49,2.53,1.508042,19566462
2011-01-10,2.54,2.6,2.53,2.6,1.5497670000000001,26155845
2011-01-11,2.58,2.62,2.56,2.61,1.555727,14966634
2011-01-12,2.61,2.62,2.59,2.61,1.555727,12327792
2011-01-13,2.62,2.68,2.62,2.68,1.597452,21867453
2011-01-14,2.68,2.69,2.66,2.67,1.591491,14296230
2011-01-17,2.66,2.68,2.63,2.68,1.597452,15167698
2011-01-18,2.68,2.7,2.67,2.69,1.603412,18223556
2011-01-19,2.68,2.68,2.65,2.66,1.585531,16710523
2011-01-20,2.67,2.67,2.62,2.64,1.573609,10013179
2011-01-21,2.64,2.66,2.6,2.63,1.567649,12521875
2011-01-24,2.63,2.64,2.58,2.59,1.543806,19960855
2011-01-25,2.62,2.66,2.59,2.65,1.5795700000000001,18754700
2011-01-27,2.67,2.68,2.65,2.68,1.597452,17849355
2011-01-28,2.71,2.71,2.66,2.68,1.597452,16535727
2011-01-31,2.67,2.68,2.64,2.65,1.5795700000000001,9367914
2011-02-01,2.64,2.67,2.59,2.6,1.5497670000000001,8366922
2011-02-02,2.64,2.65,2.61,2.64,1.573609,6363502
2011-02-03,2.65,2.69,2.64,2.68,1.597452,11472016
2011-02-04,2.68,2.7,2.66,2.66,1.585531,21764943
2011-02-07,2.67,2.68,2.63,2.65,1.5795700000000001,10342039
2011-02-08,2.66,2.68,2.64,2.68,1.600108,10484652
2011-02-09,2.68,2.68,2.66,2.67,1.5941379999999998,31393944
2011-02-10,2.66,2.7,2.66,2.69,1.606079,21909427
2011-02-11,2.69,2.71,2.68,2.7,1.61205,10279266
2011-02-14,2.7,2.75,2.7,2.75,1.641903,25638964
2011-02-15,2.74,2.75,2.7,2.72,1.623991,19081650
2011-02-16,2.72,2.74,2.71,2.72,1.623991,9449708
2011-02-17,2.73,2.74,2.71,2.72,1.623991,7604808
2011-02-18,2.72,2.72,2.67,2.69,1.606079,10500059
2011-02-21,2.68,2.69,2.66,2.68,1.600108,20878229
2011-02-22,2.67,2.68,2.66,2.66,1.588168,6084512
2011-02-23,2.66,2.67,2.64,2.65,1.5821969999999999,12836572
2011-02-24,2.65,2.66,2.62,2.62,1.564285,6626404
2011-02-25,2.62,2.66,2.62,2.66,1.588168,8408277
2011-02-28,2.66,2.69,2.65,2.67,1.5941379999999998,4894866
2011-03-01,2.74,2.74,2.67,2.67,1.5941379999999998,25737615
2011-03-02,2.67,2.7,2.66,2.7,1.61205,9447629
2011-03-03,2.71,2.71,2.69,2.69,1.606079,9494579
2011-03-04,2.7,2.75,2.69,2.75,1.641903,14116006
2011-03-07,2.73,2.75,2.71,2.73,1.629961,11763255
2011-03-08,2.71,2.74,2.7,2.72,1.623991,17638472
2011-03-09,2.73,2.73,2.71,2.72,1.623991,19254145
2011-03-10,2.73,2.75,2.7,2.7,1.61205,23254663
2011-03-11,2.68,2.7,2.65,2.65,1.5821969999999999,26480515
2011-03-15,2.62,2.64,2.59,2.6,1.552344,13238426
2011-03-16,2.6,2.6,2.51,2.54,1.516521,37395897
2011-03-17,2.52,2.57,2.5,2.57,1.534433,36492140
