Date,Open,High,Low,Close,Adj Close,Volume
2005-04-18,2.1,2.1,2.1,2.1,1.502537,0
2005-04-19,2.15,2.34,2.13,2.3,1.645636,29358714
2005-04-20,2.36,2.43,2.32,2.4,1.717185,5848951
2005-04-21,2.35,2.39,2.34,2.37,1.6957200000000001,1889149
2005-04-22,2.4,2.41,2.38,2.4,1.717185,7256478
2005-04-26,2.4,2.43,2.38,2.41,1.7243400000000002,2426207
2005-04-27,2.4,2.43,2.38,2.4,1.717185,1295736
2005-04-28,2.4,2.41,2.39,2.4,1.717185,2005128
2005-04-29,2.39,2.39,2.32,2.35,1.681411,1008077
2005-05-02,2.37,2.37,2.33,2.35,1.681411,737861
2005-05-03,2.32,2.35,2.3,2.32,1.659945,1550785
2005-05-04,2.3,2.31,2.26,2.26,1.617016,2086977
2005-05-05,2.27,2.27,2.17,2.2,1.574086,6490503
2005-05-06,2.2,2.25,2.2,2.22,1.588396,778354
2005-05-09,2.21,2.23,2.2,2.22,1.588396,1193945
2005-05-10,2.24,2.27,2.22,2.23,1.595551,70103
2005-05-11,2.22,2.28,2.22,2.27,1.6241700000000001,237510
2005-05-12,2.26,2.28,2.22,2.27,1.6241700000000001,53144
2005-05-13,2.27,2.34,2.27,2.31,1.6527900000000002,291497
2005-05-16,2.31,2.33,2.3,2.31,1.6527900000000002,447085
2005-05-17,2.32,2.35,2.32,2.33,1.667101,96146
2005-05-18,2.32,2.33,2.3,2.32,1.659945,236068
2005-05-19,2.32,2.37,2.32,2.35,1.681411,235235
2005-05-20,2.35,2.35,2.25,2.25,1.609861,82301
2005-05-23,2.3,2.33,2.26,2.31,1.6527900000000002,911983
2005-05-24,2.31,2.37,2.31,2.35,1.681411,124824
2005-05-25,2.35,2.4,2.33,2.4,1.717185,243895
2005-05-26,2.4,2.41,2.38,2.4,1.717185,1045551
2005-05-27,2.4,2.4,2.37,2.37,1.6957200000000001,34944
2005-05-30,2.37,2.37,2.31,2.35,1.681411,674985
2005-05-31,2.34,2.4,2.32,2.4,1.717185,336600
2005-06-01,2.38,2.38,2.32,2.35,1.681411,954435
