Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3.896,3.896,3.896,3.896,1.280144,0.0
2000-01-05,3.775,3.891,3.775,3.78,1.242029,19310.0
2000-01-06,3.8,3.8,3.8,3.8,1.248601,124110.0
2000-01-07,3.82,3.895,3.82,3.895,1.279816,22150.0
2000-01-10,3.9,4.0,3.9,3.975,1.306102,15020.0
2000-01-11,4.0,4.0,3.9,3.9,1.281459,61170.0
2000-01-12,3.9,3.9,3.9,3.9,1.281459,50000.0
2000-01-13,3.9,3.9,3.9,3.9,1.281459,100000.0
2000-01-14,3.85,3.85,3.81,3.81,1.251886,57870.0
2000-01-17,3.81,3.81,3.8,3.8,1.248601,5210.0
2000-01-18,3.8,3.8,3.8,3.8,1.248601,16040.0
2000-01-19,3.825,3.9,3.825,3.9,1.281459,42730.0
2000-01-20,3.9,3.9,3.9,3.9,1.281459,0.0
2000-01-21,3.9,3.9,3.9,3.9,1.281459,0.0
2000-01-24,3.805,3.805,3.805,3.805,1.2502440000000001,6000.0
2000-01-25,3.8,3.8,3.75,3.75,1.232172,67930.0
2000-01-26,3.75,3.75,3.75,3.75,1.232172,0
2000-01-27,3.6925,3.701,3.6925,3.7,1.215743,66660.0
2000-01-28,3.7,3.7,3.7,3.7,1.215743,21000.0
2000-01-31,3.7,3.7,3.6,3.6,1.182885,5350.0
2000-02-01,3.652,3.652,3.65,3.65,1.199314,62660.0
2000-02-02,3.685,3.685,3.6,3.6,1.182885,78290.0
2000-02-03,3.65,3.65,3.65,3.65,1.199314,44000.0
2000-02-04,3.65,3.65,3.65,3.65,1.199314,17310.0
2000-02-07,3.6,3.65,3.6,3.65,1.199314,169650.0
2000-02-08,3.65,3.65,3.65,3.65,1.199314,11000.0
2000-02-09,3.65,3.75,3.65,3.655,1.200956,13790.0
2000-02-10,3.65,3.65,3.65,3.65,1.199314,2380.0
2000-02-11,3.65,3.65,3.65,3.65,1.199314,5000.0
2000-02-14,3.6,3.6,3.6,3.6,1.182885,42640.0
2000-02-15,3.6,3.65,3.55,3.65,1.199314,470320.0
2000-02-16,3.64,3.652,3.64,3.65,1.199314,28330.0
2000-02-17,3.65,3.701,3.65,3.701,1.216072,203500.0
2000-02-18,3.75,3.75,3.701,3.701,1.216072,14650.0
2000-02-21,3.75,3.8,3.7,3.7,1.215743,57450.0
2000-02-22,3.7,3.7,3.7,3.7,1.215743,62960.0
