,date,600519,600030,601857,601628
0,2009-12,-0.023518,0.088386,0.025984,0.036298
1,2010-01,-0.007537,-0.109852,-0.053546,-0.146418
2,2010-02,-0.010087,-0.033946,-0.006116,-0.002588
3,2010-03,-0.04843,0.040264,-0.012308,0.055597
4,2010-04,-0.187264,0.018297,-0.057632,-0.067065
5,2010-05,0.022088,-0.315826,-0.103306,-0.092586
6,2010-06,-0.034274,-0.091928,-0.043736,0.053318
7,2010-07,0.099059,0.095726,0.044878,-0.031984
8,2010-08,0.148266,-0.085803,-0.040149,-0.067336
9,2010-09,0.059662,-0.09215,0.006176,-0.034529
10,2010-10,-0.033071,0.457707,0.099214,0.177427
11,2010-11,0.255348,-0.173436,-0.010724,-0.12071
12,2010-12,-0.101997,-0.017941,0.01355,-0.044415
13,2011-01,-0.032242,-0.003971,0.017825,-0.004695
14,2011-02,0.003877,0.173046,-0.000876,0.008019
15,2011-03,0.006548,-0.050306,0.042945,-0.017782
16,2011-04,0.013678,-0.052971,-0.015966,-0.033349
17,2011-05,0.117876,-0.028723,-0.059778,-0.057664
18,2011-06,0.043327,0.060453,0.005822,0.002636
19,2011-07,0.080937,-0.054281,-0.019284,-0.055467
20,2011-08,0.039092,-0.016168,-0.074906,-0.100508
21,2011-09,-0.112586,-0.075596,0.015685,-0.074702
22,2011-10,0.071462,0.066667,0.001013,0.13365
23,2011-11,0.028647,-0.105,-0.04251,0.025135
24,2011-12,-0.079787,-0.095903,0.029598,0.029772
25,2012-01,-0.035644,0.100927,0.048255,0.064626
26,2012-02,0.09683,0.103835,0.030362,-0.004792
27,2012-03,-0.036682,-0.017797,-0.078898,-0.125201
28,2012-04,0.14013,0.121657,0.024768,0.112538
29,2012-05,0.053972,0.059231,-0.048338,-0.042881
30,2012-06,0.010436,-0.082789,-0.025064,0.06579
31,2012-07,0.046849,-0.032462,-0.020994,0.02459
32,2012-08,-0.108262,-0.133598,-0.005643,-0.048533
33,2012-09,0.118493,0.15362,0.013904,0.059417
34,2012-10,0.006265,-0.076336,-0.01139,-0.081481
35,2012-11,-0.126668,-0.080808,-0.024194,0.016705
36,2012-12,-0.03236,0.334665,0.067296,0.212465
37,2013-01,-0.144101,0.136228,0.024336,-0.036916
38,2013-02,-0.0218,-0.034914,-0.022678,-0.082969
39,2013-03,-0.035086,-0.169283,-0.039779,-0.092593
40,2013-04,0.03038,0.020542,-0.024166,-0.022741
41,2013-05,0.132824,0.045894,0.004717,-0.00716
42,2013-06,0.007924,-0.220169,-0.092818,-0.16959
43,2013-07,-0.124084,0.051333,0.061761,-0.03141
44,2013-08,0.001662,0.06469,-0.030941,0.045249
45,2013-09,-0.194573,0.114234,0.021142,-0.003608
46,2013-10,-0.006106,-0.035801,0.0,0.015206
47,2013-11,0.046851,0.088608,0.008929,0.121255
48,2013-12,-0.092336,-0.011628,-0.025285,-0.037532
49,2014-01,0.029755,-0.091765,-0.022049,-0.093192
50,2014-02,0.134796,-0.064767,0.019894,0.009475
51,2014-03,0.031196,-0.027701,-0.011703,-0.030325
52,2014-04,0.059341,0.081671,-0.010526,0.013403
53,2014-05,-0.065048,-0.006146,0.010638,0.028656
54,2014-06,0.047802,0.012367,0.012952,-0.00627
55,2014-07,0.128821,0.148342,0.063661,0.113152
56,2014-08,-0.012729,-0.009487,-0.01621,-0.012541
57,2014-09,0.024648,0.033359,0.008233,0.039439
58,2014-10,-0.033615,-0.003754,0.006418,0.039228
59,2014-11,-0.005361,0.300678,0.042092,0.398515
60,2014-12,0.216761,0.964079,0.323133,0.511062
61,2015-01,-0.065605,-0.178171,0.076781,0.056515
62,2015-02,0.078282,0.059943,-0.0189,0.038248
63,2015-03,0.0257,0.111412,0.027145,-0.010945
