"Indexcd","Month","Idxrtn"
"000300","2009-12","0.018228"
"000300","2010-01","-0.103902"
"000300","2010-02","0.024190"
"000300","2010-03","0.019484"
"000300","2010-04","-0.083166"
"000300","2010-05","-0.095883"
"000300","2010-06","-0.075792"
"000300","2010-07","0.119302"
"000300","2010-08","0.011970"
"000300","2010-09","0.011153"
"000300","2010-10","0.151388"
"000300","2010-11","-0.071891"
"000300","2010-12","-0.002783"
"000300","2011-01","-0.016543"
"000300","2011-02","0.052998"
"000300","2011-03","-0.005022"
"000300","2011-04","-0.009484"
"000300","2011-05","-0.059874"
"000300","2011-06","0.014169"
"000300","2011-07","-0.023656"
"000300","2011-08","-0.042159"
"000300","2011-09","-0.093239"
"000300","2011-10","0.044147"
"000300","2011-11","-0.064479"
"000300","2011-12","-0.069712"
"000300","2012-01","0.050526"
"000300","2012-02","0.068938"
"000300","2012-03","-0.068045"
"000300","2012-04","0.069762"
"000300","2012-05","0.002241"
"000300","2012-06","-0.064752"
"000300","2012-07","-0.052279"
"000300","2012-08","-0.054890"
"000300","2012-09","0.040020"
"000300","2012-10","-0.016696"
"000300","2012-11","-0.051072"
"000300","2012-12","0.179136"
"000300","2013-01","0.064975"
"000300","2013-02","-0.005045"
"000300","2013-03","-0.066675"
"000300","2013-04","-0.019148"
"000300","2013-05","0.065018"
"000300","2013-06","-0.155687"
"000300","2013-07","-0.003462"
"000300","2013-08","0.055124"
"000300","2013-09","0.041111"
"000300","2013-10","-0.014661"
"000300","2013-11","0.027478"
"000300","2013-12","-0.044658"
"000300","2014-01","-0.054753"
"000300","2014-02","-0.010660"
"000300","2014-03","-0.014991"
"000300","2014-04","0.005756"
"000300","2014-05","-0.001017"
"000300","2014-06","0.004013"
"000300","2014-07","0.085507"
"000300","2014-08","-0.005091"
"000300","2014-09","0.048198"
"000300","2014-10","0.023393"
"000300","2014-11","0.119799"
"000300","2014-12","0.258075"
"000300","2015-01","-0.028105"
"000300","2015-02","0.040314"
"000300","2015-03","0.133888"
"000300","2015-04","0.172463"
"000300","2015-05","0.019146"
"000300","2015-06","-0.075985"
"000300","2015-07","-0.146725"
"000300","2015-08","-0.117946"
"000300","2015-09","-0.048592"
"000300","2015-10","0.103383"
"000300","2015-11","0.009149"
"000300","2015-12","0.046151"
"000300","2016-01","-0.210376"
"000300","2016-02","-0.023293"
"000300","2016-03","0.118375"
"000300","2016-04","-0.019062"
"000300","2016-05","0.004060"
"000300","2016-06","-0.004934"
"000300","2016-07","0.015856"
"000300","2016-08","0.038660"
"000300","2016-09","-0.022390"
"000300","2016-10","0.025511"
"000300","2016-11","0.060463"
"000300","2016-12","-0.064421"
"000300","2017-01","0.023528"
"000300","2017-02","0.019141"
"000300","2017-03","0.000937"
"000300","2017-04","-0.004714"
"000300","2017-05","0.015446"
"000300","2017-06","0.049791"
"000300","2017-07","0.019383"
"000300","2017-08","0.022532"
"000300","2017-09","0.003770"
"000300","2017-10","0.044368"
"000300","2017-11","-0.000154"
"000300","2017-12","0.006180"
"000300","2018-01","0.060792"
"000300","2018-02","-0.058995"
"000300","2018-03","-0.031102"
"000300","2018-04","-0.036327"
"000300","2018-05","0.012111"
"000300","2018-06","-0.076634"
"000300","2018-07","0.001900"
"000300","2018-08","-0.052067"
"000300","2018-09","0.031297"
"000300","2018-10","-0.082888"
"000300","2018-11","0.005982"
"000300","2018-12","-0.051072"
"000300","2019-01","0.063434"
"000300","2019-02","0.146093"
"000300","2019-03","0.055315"
"000300","2019-04","0.010554"
"000300","2019-05","-0.072427"
"000300","2019-06","0.053942"
"000300","2019-07","0.002554"
"000300","2019-08","-0.009327"
"000300","2019-09","0.003933"
"000300","2019-10","0.018934"
"000300","2019-11","-0.014943"
"000300","2019-12","0.069975"
"000300","2020-01","-0.022624"
"000300","2020-02","-0.015947"
"000300","2020-03","-0.064439"
"000300","2020-04","0.061425"
"000300","2020-05","-0.011643"
"000300","2020-06","0.076788"
"000300","2020-07","0.127542"
"000300","2020-08","0.025808"
"000300","2020-09","-0.047510"
"000300","2020-10","0.023529"
"000300","2020-11","0.056422"
"000300","2020-12","0.050610"
"000300","2021-01","0.026994"
"000300","2021-02","-0.002841"
"000300","2021-03","-0.054040"
"000300","2021-04","0.014882"
"000300","2021-05","0.040613"
"000300","2021-06","-0.020168"
"000300","2021-07","-0.079033"
"000300","2021-08","-0.001156"
"000300","2021-09","0.012646"
"000300","2021-10","0.008710"
"000300","2021-11","-0.015634"
"000300","2021-12","0.022423"
"000300","2022-01","-0.076229"
"000300","2022-02","0.003916"
"000300","2022-03","-0.078367"
"000300","2022-04","-0.048869"
"000300","2022-05","0.018743"
"000300","2022-06","0.096173"
"000300","2022-07","-0.070214"
"000300","2022-08","-0.021885"
"000300","2022-09","-0.067165"
"000300","2022-10","-0.077843"
"000300","2022-11","0.098137"
